epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3186.32,0.55727,0.74365,0.3011,0.84487,0.97837,0.98257,0.99048,0.89562,0.97837,0.98257,0.99019,0.85617,0.57542,0.86952,0.32619,0.83433,0.000824978,0.000824978,0.000824978
70,3232.86,0.5429,0.73049,0.29673,0.83759,0.99108,0.98641,0.99333,0.902,0.99108,0.98641,0.99333,0.86451,0.58055,0.84446,0.32256,0.837,0.0008103,0.0008103,0.0008103
71,3279.96,0.53822,0.71876,0.29532,0.83651,0.98825,0.97199,0.99178,0.90514,0.98825,0.97199,0.99177,0.86605,0.57292,0.8451,0.32384,0.83531,0.000795584,0.000795584,0.000795584
72,3326.56,0.52619,0.71521,0.29106,0.83261,0.98621,0.97788,0.99239,0.90625,0.98621,0.97788,0.99239,0.86316,0.5622,0.86066,0.32872,0.8329,0.000780835,0.000780835,0.000780835
73,3372.42,0.54929,0.72433,0.30154,0.8398,0.99184,0.98198,0.99239,0.89787,0.98914,0.97945,0.99211,0.85429,0.58662,0.86922,0.32348,0.83798,0.00076606,0.00076606,0.00076606
74,3418.33,0.52639,0.71095,0.28863,0.83712,0.98232,0.97806,0.99211,0.90278,0.98202,0.97777,0.99192,0.85919,0.56398,0.87802,0.31945,0.83284,0.000751266,0.000751266,0.000751266
75,3465.92,0.54939,0.74549,0.29341,0.83775,0.98367,0.95914,0.9868,0.89194,0.98367,0.95914,0.9858,0.85749,0.59058,0.8993,0.35021,0.83454,0.000736459,0.000736459,0.000736459
76,3511.63,0.54364,0.73691,0.29318,0.83739,0.99071,0.95814,0.98747,0.89794,0.99071,0.95814,0.98786,0.85869,0.55856,0.8561,0.3289,0.83267,0.000721645,0.000721645,0.000721645
77,3557.54,0.53788,0.70824,0.29296,0.83684,0.98893,0.98324,0.99271,0.90169,0.98893,0.98324,0.99271,0.86354,0.56731,0.86648,0.31821,0.83077,0.000706831,0.000706831,0.000706831
78,3604.99,0.54321,0.73189,0.29654,0.83817,0.98122,0.96366,0.99032,0.89381,0.98122,0.96366,0.99033,0.85744,0.59013,0.8649,0.33299,0.83716,0.000692024,0.000692024,0.000692024
79,3651.58,0.53206,0.70826,0.28814,0.83377,0.98112,0.96628,0.99264,0.90504,0.98112,0.96628,0.99286,0.86268,0.56066,0.85387,0.33553,0.82959,0.00067723,0.00067723,0.00067723
80,3699.25,0.54261,0.69983,0.29033,0.83769,0.98307,0.97733,0.99191,0.90076,0.98306,0.97745,0.99067,0.86075,0.56406,0.87006,0.31986,0.8324,0.000662455,0.000662455,0.000662455
81,3746.31,0.51638,0.69313,0.2853,0.82948,0.97794,0.93293,0.97754,0.88921,0.97794,0.93293,0.97802,0.85495,0.56762,0.87914,0.33378,0.83516,0.000647706,0.000647706,0.000647706
82,3794,0.51919,0.70504,0.28498,0.83094,0.99174,0.95908,0.98792,0.89845,0.99174,0.95908,0.98628,0.85904,0.56075,0.87395,0.33446,0.83256,0.00063299,0.00063299,0.00063299
83,3840.84,0.52136,0.69104,0.28515,0.83278,0.97528,0.96646,0.98722,0.90218,0.97508,0.96608,0.98576,0.85892,0.55884,0.87176,0.33562,0.8317,0.000618312,0.000618312,0.000618312
